Outcode,Incode,LDZ,Exit Zone
BD1,2PS,NE,NE1
BD1,2PU,NE,NE1
BD1,2PW,NE,NE1
BD1,2PX,NE,NE1
BD1,2PY,NE,NE1
BD1,2QL,NE,NE1
BD1,2QR,NE,NE1
BD1,2QT,NE,NE1
BD1,2QU,NE,NE1
BD1,2QY,NE,NE1
BD1,2RD,NE,NE1
BD1,2RE,NE,NE1
BD1,2RN,NE,NE1
BD1,2RP,NE,NE1
BD1,2RU,NE,NE1
BD1,2RW,NE,NE1
BD1,2RX,NE,NE1
BD1,2RZ,NE,NE1
BD1,2SD,NE,NE1
BD1,2SH,NE,NE1
BD1,2SS,NE,NE1
BD1,3AA,NE,NE1
BD1,3AD,NE,NE1
BD1,3AH,NE,NE1
BD1,3AU,NE,NE1
BD1,3AZ,NE,NE1
BD1,3BA,NE,NE1
BD1,3BE,NE,NE1
BD1,3BN,NE,NE1
BD1,3BT,NE,NE1
BD1,3BU,NE,NE1
BD1,3BW,NE,NE1
BD1,3BY,NE,NE1
BD1,3BZ,NE,NE1
BD1,3DN,NE,NE1
BD1,3EA,NE,NE1
BD1,3EB,NE,NE1
BD1,3ED,NE,NE1
BD1,3EJ,NE,NE1
BD1,3EP,NE,NE1
BD1,3EQ,NE,NE1
BD1,3ES,NE,NE1
BD1,3ET,NE,NE1
BD1,3EY,NE,NE1
BD1,3EZ,NE,NE1
BD1,3HL,NE,NE1
BD1,3HN,NE,NE1
BD1,3HR,NE,NE1
BD1,3HT,NE,NE1
BD1,3HZ,NE,NE1
BD1,3JH,NE,NE1
BD1,3JL,NE,NE1
BD1,3JP,NE,NE1
BD1,3JR,NE,NE1
BD1,3JS,NE,NE1
BD1,3JT,NE,NE1
BD1,3JU,NE,NE1
BD1,3LB,NE,NE1
BD1,3LS,NE,NE1
BD1,3LW,NE,NE1
BD1,3LX,NE,NE1
BD1,3LY,NE,NE1
BD1,3ND,NE,NE1
BD1,3NJ,NE,NE1
BD1,3NN,NE,NE1
BD1,3NU,NE,NE1
BD1,3PB,NE,NE1
BD1,3PE,NE,NE1
BD1,3PP,NE,NE1
BD1,3PQ,NE,NE1
BD1,3PY,NE,NE1
BD1,3PZ,NE,NE1
BD1,3QQ,NE,NE1
BD1,3QR,NE,NE1
BD1,3QS,NE,NE1
BD1,3QX,NE,NE1
BD1,3RA,NE,NE1
BD1,3RB,NE,NE1
BD1,3RG,NE,NE1
BD1,3RP,NE,NE1
BD1,3RQ,NE,NE1
BD1,3RU,NE,NE1
BD1,3SF,NE,NE1
BD1,3SH,NE,NE1
BD1,3SN,NE,NE1
BD1,3SQ,NE,NE1
BD1,3SR,NE,NE1
BD1,3ST,NE,NE1
BD1,3TH,NE,NE1
BD1,4AA,NE,NE1
BD1,4AB,NE,NE1
BD1,4AG,NE,NE1
BD1,4AH,NE,NE1
BD1,4AJ,NE,NE1
BD1,4AP,NE,NE1
BD1,4AR,NE,NE1
BD1,4AS,NE,NE1
BD1,4AT,NE,NE1
BD1,4AU,NE,NE1
BD1,4BA,NE,NE1
BD1,4DA,NE,NE1
BD1,4DE,NE,NE1
BD1,4DH,NE,NE1
BD1,4DQ,NE,NE1
BD1,4DR,NE,NE1
BD1,4DY,NE,NE1
BD1,4DZ,NE,NE1
BD1,4EG,NE,NE1
BD1,4EH,NE,NE1
BD1,4EL,NE,NE1
BD1,4ES,NE,NE1
BD1,4EW,NE,NE1
BD1,4EY,NE,NE1
BD1,4HD,NE,NE1
BD1,4HF,NE,NE1
BD1,4HP,NE,NE1
BD1,4HR,NE,NE1
BD1,4HU,NE,NE1
BD1,4JB,NE,NE1
BD1,4NL,NE,NE1
BD1,4NS,NE,NE1
BD1,4PB,NE,NE1
BD1,4PS,NE,NE1
BD1,4QD,NE,NE1
BD1,4QE,NE,NE1
BD1,4QH,NE,NE1
BD1,4QJ,NE,NE1
BD1,4QR,NE,NE1
BD1,4QT,NE,NE1
BD1,4QU,NE,NE1
BD1,4RB,NE,NE1
BD1,4RD,NE,NE1
BD1,4RF,NE,NE1
BD1,4RH,NE,NE1
BD1,4RN,NE,NE1
BD1,4RP,NE,NE1
BD1,4RU,NE,NE1
BD1,4RY,NE,NE1
BD1,4SD,NE,NE1
BD1,4SF,NE,NE1
BD1,4SJ,NE,NE1
BD1,4SP,NE,NE1
BD1,4SR,NE,NE1
BD1,4SX,NE,NE1
BD1,4TY,NE,NE1
BD1,4XB,NE,NE1
BD1,5AF,NE,NE1
BD1,5AG,NE,NE1
BD1,5AH,NE,NE1
BD1,5AJ,NE,NE1
BD1,5AP,NE,NE1
BD1,5AS,NE,NE1
BD1,5BA,NE,NE1
BD1,5BD,NE,NE1
BD1,5BE,NE,NE1
BD1,5BJ,NE,NE1
BD1,5BL,NE,NE1
BD1,5BY,NE,NE1
BD1,5DL,NE,NE1
BD1,5DN,NE,NE1
BD1,5DT,NE,NE1
BD1,5DW,NE,NE1
BD1,5DY,NE,NE1
BD1,5EE,NE,NE1
BD1,5EP,NE,NE1
BD1,5HD,NE,NE1
BD1,5HQ,NE,NE1
BD1,5HR,NE,NE1
BD1,5HU,NE,NE1
BD1,5HZ,NE,NE1
BD1,5JA,NE,NE1
BD1,5LD,NE,NE1
