Outcode,Incode,LDZ,Exit Zone,LPG Indicator
BA1,1NN,SW,SW2,
BA1,1NP,SW,SW2,
BA1,1NR,SW,SW2,
BA1,1NS,SW,SW2,
BA1,1NW,SW,SW2,
BA1,1NX,SW,SW2,
BA1,1NY,SW,SW2,
BA1,1PF,SW,SW2,
BA1,1PG,SW,SW2,
BA1,1PQ,SW,SW2,
BA1,1PR,SW,SW2,
BA1,1PS,SW,SW2,
BA1,1PT,SW,SW2,
BA1,1PX,SW,SW2,
BA1,1QB,SW,SW2,
BA1,1QF,SW,SW2,
BA1,1QH,SW,SW2,
BA1,1QL,SW,SW2,
BA1,1QP,SW,SW2,
BA1,1QR,SW,SW2,
BA1,1QT,SW,SW2,
BA1,1QU,SW,SW2,
BA1,1QX,SW,SW2,
BA1,1QY,SW,SW2,
BA1,1QZ,SW,SW2,
BA1,1RB,SW,SW2,
BA1,1RE,SW,SW2,
BA1,1RG,SW,SW2,
BA1,1RH,SW,SW2,
BA1,1RJ,SW,SW2,
BA1,1RL,SW,SW2,
BA1,1RN,SW,SW2,
BA1,1RP,SW,SW2,
BA1,1RT,SW,SW2,
BA1,1RZ,SW,SW2,
BA1,1SA,SW,SW2,
BA1,1SB,SW,SW2,
BA1,1SG,SW,SW2,
BA1,1SH,SW,SW2,
BA1,1SJ,SW,SW2,
BA1,1SL,SW,SW2,
BA1,1SP,SW,SW2,
BA1,1SQ,SW,SW2,
BA1,1SR,SW,SW2,
BA1,1SS,SW,SW2,
BA1,1SU,SW,SW2,
BA1,1SX,SW,SW2,
BA1,1TA,SW,SW2,
BA1,1TD,SW,SW2,
BA1,1TG,SW,SW2,
BA1,1TN,SW,SW2,
BA1,1TP,SW,SW2,
BA1,1TR,SW,SW2,
BA1,1TS,SW,SW2,
BA1,1TW,SW,SW2,
BA1,1UA,SW,SW2,
BA1,1UB,SW,SW2,
BA1,1UE,SW,SW2,
BA1,1UF,SW,SW2,
BA1,1UG,SW,SW2,
BA1,1UH,SW,SW2,
BA1,1UJ,SW,SW2,
BA1,1UL,SW,SW2,
BA1,1UN,SW,SW2,
BA1,1UP,SW,SW2,
BA1,1UQ,SW,SW2,
BA1,1UR,SW,SW2,
BA1,1US,SW,SW2,
BA1,1UT,SW,SW2,
BA1,1UX,SW,SW2,
BA1,1XA,SW,SW2,
BA1,1XD,SW,SW2,
